66646 GFF lines processed.
file_1_file_1_g1015.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1015.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1015.t1.exon4	0	0	0	0	0	0	0	0
file_1_file_1_g1015.t1.exon5	0	0	0	0	0	0	0	0
file_1_file_1_g1015.t1.exon6	0	0	0	0	0	0	0	0
file_1_file_1_g1015.t1.exon7	0	0	0	0	0	0	0	0
file_1_file_1_g1015.t1.exon8	0	0	0	0	0	0	0	0
file_1_file_1_g1015.t1.exon9	0	0	0	0	0	0	0	0
file_1_file_1_g1016.t1.exon1	33	16	16	4	0	7	2	0
file_1_file_1_g1016.t1.exon10	0	0	0	0	0	0	0	0
file_1_file_1_g1016.t1.exon11	0	0	0	0	0	0	0	0
file_1_file_1_g1016.t1.exon12	0	0	0	0	0	0	0	0
file_1_file_1_g1016.t1.exon2	40	17	20	7	0	9	1	1
file_1_file_1_g1016.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1016.t1.exon4	0	0	0	0	0	0	0	0
file_1_file_1_g1016.t1.exon5	0	0	0	0	0	0	0	0
file_1_file_1_g1016.t1.exon6	0	0	0	0	0	0	0	0
file_1_file_1_g1016.t1.exon7	0	0	0	0	0	0	0	0
file_1_file_1_g1016.t1.exon8	0	0	0	0	0	0	0	0
file_1_file_1_g1016.t1.exon9	0	0	0	0	0	0	0	0
file_1_file_1_g1017.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1017.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1017.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1017.t1.exon4	0	0	0	0	0	0	0	0
file_1_file_1_g1017.t1.exon5	0	0	0	0	0	0	0	0
file_1_file_1_g1018.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1018.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1019.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1019.t1.exon10	0	0	0	0	0	0	0	0
file_1_file_1_g1019.t1.exon11	0	0	0	0	0	0	0	0
file_1_file_1_g1019.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1019.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1019.t1.exon4	0	0	0	0	0	0	0	0
file_1_file_1_g1019.t1.exon5	0	0	0	0	0	0	0	0
file_1_file_1_g1019.t1.exon6	0	0	0	0	0	0	0	0
file_1_file_1_g1019.t1.exon7	0	0	0	0	0	0	0	0
file_1_file_1_g1019.t1.exon8	0	0	0	0	0	0	0	0
file_1_file_1_g1019.t1.exon9	0	0	0	0	0	0	0	0
file_1_file_1_g102.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1020.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1020.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1020.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1021.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1021.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1021.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1021.t1.exon4	0	0	0	0	0	0	0	0
file_1_file_1_g1022.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1022.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1023.t1.exon1	2	0	0	0	0	0	0	0
file_1_file_1_g1023.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1024.t1.exon1	6	2	2	1	0	0	0	0
file_1_file_1_g1024.t1.exon2	7	1	1	0	0	0	0	0
file_1_file_1_g1024.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1025.t1.exon1	1	1	0	0	0	0	0	0
file_1_file_1_g1026.t1.exon1	5	1	0	0	0	0	0	0
file_1_file_1_g1026.t1.exon2	1	1	0	0	0	0	0	0
file_1_file_1_g1026.t1.exon3	2	1	0	1	0	0	0	1
file_1_file_1_g1027.t1.exon1	4	1	1	0	0	0	0	0
file_1_file_1_g1027.t1.exon2	3	0	0	0	0	0	0	0
file_1_file_1_g1027.t1.exon3	4	2	1	0	0	0	0	0
file_1_file_1_g1028.t1.exon1	6	0	0	0	0	0	0	0
file_1_file_1_g1029.t1.exon1	5	0	4	0	7	0	0	0
file_1_file_1_g1029.t1.exon2	832	48	1025	73	1521	3	1188	3048
file_1_file_1_g1029.t1.exon3	242	10	296	9	712	0	701	926
file_1_file_1_g1029.t1.exon4	1026	39	1457	77	2894	13	2418	3313
file_1_file_1_g103.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g103.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g103.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g103.t1.exon4	0	0	0	0	0	0	0	0
file_1_file_1_g1030.t1.exon1	31	31	26	73	8	0	7	36
file_1_file_1_g1030.t1.exon2	15	1	3	6	0	0	0	1
file_1_file_1_g1030.t1.exon3	3	1	1	0	0	0	0	0
file_1_file_1_g1031.t1.exon1	11	23	2	49	0	0	0	0
file_1_file_1_g1031.t1.exon2	5	8	0	11	0	0	0	1
file_1_file_1_g1032.t1.exon1	1	0	1	0	0	0	0	0
file_1_file_1_g1032.t1.exon10	0	0	0	2	0	0	0	0
file_1_file_1_g1032.t1.exon11	0	0	0	0	0	0	0	0
file_1_file_1_g1032.t1.exon12	0	0	0	1	0	0	0	0
file_1_file_1_g1032.t1.exon13	0	0	0	1	0	0	0	0
file_1_file_1_g1032.t1.exon14	0	1	0	6	0	0	0	0
file_1_file_1_g1032.t1.exon2	3	0	0	0	0	0	0	0
file_1_file_1_g1032.t1.exon3	1	0	1	0	0	0	0	0
file_1_file_1_g1032.t1.exon4	6	19	3	52	0	0	13	110
file_1_file_1_g1032.t1.exon5	0	1	0	1	0	0	0	0
file_1_file_1_g1032.t1.exon6	0	4	0	5	0	0	0	0
file_1_file_1_g1032.t1.exon7	0	0	0	0	0	0	0	0
file_1_file_1_g1032.t1.exon8	0	6	0	2	1	0	0	1
file_1_file_1_g1032.t1.exon9	0	0	0	0	0	0	0	0
file_1_file_1_g1033.t1.exon1	118	245	111	452	114	0	43	32
file_1_file_1_g1033.t1.exon2	0	3	0	2	0	0	0	0
file_1_file_1_g1033.t1.exon3	39	70	47	89	557	0	122	34
file_1_file_1_g1034.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1035.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1035.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1036.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1036.t1.exon2	1	0	0	0	0	0	0	0
file_1_file_1_g1036.t1.exon3	5	0	0	0	0	0	0	0
file_1_file_1_g1037.t1.exon1	6	0	0	0	0	0	0	0
file_1_file_1_g1037.t1.exon2	1	2	0	2	0	0	0	0
file_1_file_1_g1037.t1.exon3	3	2	1	0	0	0	0	0
file_1_file_1_g1037.t1.exon4	1	1	0	0	0	0	0	0
file_1_file_1_g1037.t1.exon5	3	1	0	0	0	0	0	0
file_1_file_1_g1038.t1.exon1	17	1	0	0	13	0	0	0
file_1_file_1_g1038.t1.exon2	1	0	0	0	12	0	0	0
file_1_file_1_g1038.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1038.t1.exon4	0	0	0	0	0	0	0	0
file_1_file_1_g1038.t1.exon5	0	0	0	0	0	0	0	0
file_1_file_1_g1039.t1.exon1	4	0	0	0	0	0	0	0
file_1_file_1_g1039.t1.exon2	4	0	0	0	0	0	0	0
file_1_file_1_g104.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g104.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g104.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g104.t1.exon4	0	0	0	0	0	0	0	0
file_1_file_1_g1040.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1040.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1040.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1041.t1.exon1	7	0	2	0	0	0	0	0
file_1_file_1_g1042.t1.exon1	4	0	0	0	0	0	0	0
file_1_file_1_g1042.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1042.t1.exon3	2	1	0	0	0	0	0	0
file_1_file_1_g1042.t1.exon4	3	0	1	0	0	0	0	0
file_1_file_1_g1043.t1.exon1	4	0	1	0	0	0	0	0
file_1_file_1_g1043.t1.exon2	2	1	1	0	0	0	0	0
file_1_file_1_g1043.t1.exon3	2	0	0	0	0	0	0	0
file_1_file_1_g1044.t1.exon1	43	15	9	2	0	2	0	0
file_1_file_1_g1045.t1.exon1	5	0	0	0	0	0	0	0
file_1_file_1_g1045.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1045.t1.exon3	0	0	1	0	0	0	0	0
file_1_file_1_g1045.t1.exon4	2	0	0	0	0	0	0	0
file_1_file_1_g1046.t1.exon1	27	1	1	0	3	1	0	0
file_1_file_1_g1046.t1.exon2	10	0	2	0	0	0	0	1
file_1_file_1_g1047.t1.exon1	4	2	1	0	0	0	0	0
file_1_file_1_g1047.t1.exon2	2	0	0	0	0	0	0	0
file_1_file_1_g1047.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1048.t1.exon1	1	0	1	0	0	0	0	0
file_1_file_1_g1048.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1048.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1049.t1.exon1	2	0	0	0	0	0	0	0
file_1_file_1_g1049.t1.exon2	2	1	1	0	0	0	0	0
file_1_file_1_g1049.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1049.t1.exon4	2	0	0	0	0	0	0	0
file_1_file_1_g1049.t1.exon5	1	0	0	0	0	0	0	0
file_1_file_1_g1049.t1.exon6	2	0	0	0	0	0	0	0
file_1_file_1_g1049.t1.exon7	0	0	1	0	0	0	0	0
file_1_file_1_g105.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g105.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g105.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g105.t1.exon4	0	0	0	0	0	0	0	0
file_1_file_1_g105.t1.exon5	0	0	0	0	0	0	0	0
file_1_file_1_g1050.t1.exon1	6	1	0	0	0	0	0	0
file_1_file_1_g1051.t1.exon1	2	0	5	0	0	0	0	0
file_1_file_1_g1052.t1.exon1	6	4	3	0	0	0	0	0
file_1_file_1_g1052.t1.exon2	1	0	0	0	0	0	0	0
file_1_file_1_g1052.t1.exon3	2	0	0	0	0	0	0	0
file_1_file_1_g1053.t1.exon1	15	3	2	0	0	0	0	0
file_1_file_1_g1053.t1.exon2	6	1	3	0	0	0	0	0
file_1_file_1_g1054.t1.exon1	2	0	4	0	0	0	0	37
file_1_file_1_g1054.t1.exon2	10	0	4	3	0	11	4	53
file_1_file_1_g1054.t1.exon3	7	0	6	3	6	3	15	47
file_1_file_1_g1055.t1.exon1	6	4	20	9	29	0	117	262
file_1_file_1_g1055.t1.exon2	131	112	193	189	859	6	1779	2332
file_1_file_1_g1055.t1.exon3	25	19	30	30	70	0	217	319
file_1_file_1_g1055.t1.exon4	2	5	5	12	18	0	23	110
file_1_file_1_g1055.t1.exon5	8	16	7	8	9	0	10	124
file_1_file_1_g1055.t1.exon6	90	66	118	110	298	4	699	1077
file_1_file_1_g1055.t1.exon7	4	3	4	7	13	0	27	85
file_1_file_1_g1055.t1.exon8	38	30	43	55	78	0	97	253
file_1_file_1_g1055.t1.exon9	4	0	0	1	0	0	0	1
file_1_file_1_g1056.t1.exon1	24	80	10	163	8	0	2	46
file_1_file_1_g1056.t1.exon2	16	15	12	22	5	0	1	20
file_1_file_1_g1057.t1.exon1	6	0	2	1	0	0	0	0
file_1_file_1_g1057.t1.exon10	1	0	0	0	0	0	0	0
file_1_file_1_g1057.t1.exon2	6	0	1	0	0	1	0	0
file_1_file_1_g1057.t1.exon3	3	0	0	0	0	0	0	0
file_1_file_1_g1057.t1.exon4	0	0	0	0	0	0	0	0
file_1_file_1_g1057.t1.exon5	0	0	0	0	0	0	0	0
file_1_file_1_g1057.t1.exon6	0	0	0	0	0	0	0	0
file_1_file_1_g1057.t1.exon7	1	0	0	0	0	0	0	0
file_1_file_1_g1057.t1.exon8	1	0	1	0	0	0	0	0
file_1_file_1_g1057.t1.exon9	2	1	0	0	0	0	0	0
file_1_file_1_g1058.t1.exon1	2	2	0	3	0	0	0	0
file_1_file_1_g1058.t1.exon2	10	5	2	8	0	0	0	0
file_1_file_1_g1059.t1.exon1	25	26	11	31	33	6	22	0
file_1_file_1_g106.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g106.t1.exon2	0	0	0	0	0	0	0	9
file_1_file_1_g106.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g106.t1.exon4	0	0	0	0	0	0	0	0
file_1_file_1_g106.t1.exon5	0	0	0	0	0	0	0	0
file_1_file_1_g106.t1.exon6	0	0	0	2	0	0	19	32
file_1_file_1_g106.t1.exon7	0	0	0	0	0	0	0	0
file_1_file_1_g1060.t1.exon1	3	14	4	13	21	0	4	8
file_1_file_1_g1060.t1.exon2	4	3	2	3	0	0	1	5
file_1_file_1_g1060.t1.exon3	1	0	0	1	0	0	0	1
file_1_file_1_g1060.t1.exon4	6	3	2	1	0	0	0	3
file_1_file_1_g1060.t1.exon5	5	17	7	31	0	0	5	15
file_1_file_1_g1061.t1.exon1	11	2	6	0	10	0	3	3
file_1_file_1_g1061.t1.exon10	2	1	0	0	0	0	0	0
file_1_file_1_g1061.t1.exon11	6	2	1	1	0	0	0	0
file_1_file_1_g1061.t1.exon2	0	0	1	0	0	0	0	1
file_1_file_1_g1061.t1.exon3	4	0	3	0	2	0	2	20
file_1_file_1_g1061.t1.exon4	4	1	0	2	0	0	0	4
file_1_file_1_g1061.t1.exon5	2	0	3	2	0	0	1	4
file_1_file_1_g1061.t1.exon6	1	0	4	1	0	0	0	8
file_1_file_1_g1061.t1.exon7	2	0	0	0	0	0	2	0
file_1_file_1_g1061.t1.exon8	121	18	120	36	71	0	51	162
file_1_file_1_g1061.t1.exon9	58	15	61	15	20	1	17	40
file_1_file_1_g1062.t1.exon1	4	1	0	0	0	0	0	0
file_1_file_1_g1062.t1.exon2	1	2	1	3	0	0	0	0
file_1_file_1_g1063.t1.exon1	8	34	11	42	2	0	5	21
file_1_file_1_g1063.t1.exon10	2	4	0	15	0	0	0	5
file_1_file_1_g1063.t1.exon11	5	9	0	7	0	0	7	2
file_1_file_1_g1063.t1.exon12	20	92	30	98	116	0	222	31
file_1_file_1_g1063.t1.exon2	2	0	3	4	0	0	1	1
file_1_file_1_g1063.t1.exon3	0	2	0	4	0	0	8	0
file_1_file_1_g1063.t1.exon4	3	0	0	1	4	0	5	1
file_1_file_1_g1063.t1.exon5	2	0	0	3	0	0	0	0
file_1_file_1_g1063.t1.exon6	14	25	6	40	12	0	20	26
file_1_file_1_g1063.t1.exon7	0	0	0	3	0	0	1	0
file_1_file_1_g1063.t1.exon8	3	1	0	1	0	0	2	1
file_1_file_1_g1063.t1.exon9	0	2	2	8	0	0	5	0
file_1_file_1_g1064.t1.exon1	11	1	1	1	0	0	0	0
file_1_file_1_g1064.t1.exon2	3	0	0	0	0	0	0	0
file_1_file_1_g1064.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1064.t1.exon4	0	0	0	0	0	0	0	0
file_1_file_1_g1064.t1.exon5	4	1	0	0	0	0	0	0
file_1_file_1_g1064.t1.exon6	5	4	1	0	0	1	0	0
file_1_file_1_g1065.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1065.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1065.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1065.t1.exon4	0	0	0	0	0	0	0	0
file_1_file_1_g1065.t1.exon5	0	0	0	0	0	0	0	0
file_1_file_1_g1065.t2.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1065.t2.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1065.t2.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1065.t2.exon4	0	0	0	0	0	0	0	0
file_1_file_1_g1065.t2.exon5	0	0	0	0	0	0	0	0
